ZipOrFSA,CityList,HomeCount,KnockCount,ContactCount,ContactRate,NoCount,LeadCount,YesRate,QCCount,BadCount,BadRate,OrderCount,OrderAmount,AvgRevenuePerSale,AvgRevenuePer100Homes,PercentageOfHomesKnocked,ContactRateOfHomesAvailable,LeadsPer100HomesKnocked,SalesPer100HomesKnocked
60614,"Lincoln Park, North Side",12000,520,160,30.77,149,9,5.62,2,4,2.5,2,1073.09,536.54,8.94,4.33,1.33,1.73,0.38
60657,"Lakeview, North Side",13500,610,219,35.9,201,14,6.39,4,1,0.46,2,963.43,481.71,7.14,4.52,1.62,2.3,0.33
60640,"Uptown, North Side",9800,340,63,18.53,56,5,7.94,2,0,0.0,2,1017.13,508.56,10.38,3.47,0.64,1.47,0.59
60625,"Albany Park, Northwest Side",8200,280,96,34.29,88,5,5.21,3,1,1.04,2,739.51,369.75,9.02,3.41,1.17,1.79,0.71
60618,"North Center, Irving Park",10200,380,141,37.11,125,15,10.64,1,4,2.84,3,1539.58,513.19,15.09,3.73,1.38,3.95,0.79
60647,"Logan Square, West Town",9600,300,102,34.0,82,18,17.65,2,1,0.98,10,4966.53,496.65,51.73,3.12,1.06,6.0,3.33
60641,"Portage Park, Northwest Side",11000,250,86,34.4,70,13,15.12,3,2,2.33,5,1673.32,334.66,15.21,2.27,0.78,5.2,2.0
60630,"Jefferson Park, Northwest Side",8900,190,43,22.63,39,4,9.3,0,0,0.0,1,408.95,408.95,4.59,2.13,0.48,2.11,0.53
60659,"West Ridge, North Side",7400,160,49,30.62,43,5,10.2,1,0,0.0,1,619.73,619.73,8.37,2.16,0.66,3.12,0.62
60660,"Edgewater Glen, North Side",8100,240,74,30.83,62,11,14.86,1,0,0.0,5,2207.13,441.43,27.25,2.96,0.91,4.58,2.08
60601,"The Loop, Downtown",4200,210,79,37.62,64,13,16.46,2,2,2.53,6,3409.92,568.32,81.19,5.0,1.88,6.19,2.86
60605,"South Loop, Downtown",6100,180,41,22.78,38,2,4.88,1,0,0.0,1,621.73,621.73,10.19,2.95,0.67,1.11,0.56
60607,"West Loop, Near West Side",5800,160,57,35.62,49,6,10.53,2,2,3.51,2,933.67,466.83,16.1,2.76,0.98,3.75,1.25
60616,"Chinatown, Near South Side",4900,120,28,23.33,24,3,10.71,1,0,0.0,1,607.3,607.3,12.39,2.45,0.57,2.5,0.83
60622,"Wicker Park, West Town",8300,270,70,25.93,61,6,8.57,3,0,0.0,2,670.15,335.07,8.07,3.25,0.84,2.22,0.74
60612,"East Garfield Park, West Side",6200,140,28,20.0,23,4,14.29,1,0,0.0,1,442.12,442.12,7.13,2.26,0.45,2.86,0.71
60623,"Little Village, South Lawndale",9100,150,57,38.0,47,8,14.04,2,0,0.0,4,2202.52,550.63,24.2,1.65,0.63,5.33,2.67
60632,"Brighton Park, Southwest Side",8600,200,63,31.5,53,9,14.29,1,0,0.0,4,1836.5,459.12,21.35,2.33,0.73,4.5,2.0
60629,"Chicago Lawn, Southwest Side",9400,230,62,26.96,47,13,20.97,2,1,1.61,3,1131.51,377.17,12.04,2.45,0.66,5.65,1.3
60638,"Garfield Ridge, Southwest Side",7800,180,65,36.11,51,13,20.0,1,1,1.54,5,1844.54,368.91,23.65,2.31,0.83,7.22,2.78
60643,"Beverly, Morgan Park",8800,140,47,33.57,38,7,14.89,2,0,0.0,3,1271.19,423.73,14.45,1.59,0.53,5.0,2.14
60655,"Mount Greenwood, Southwest Side",7200,130,24,18.46,18,5,20.83,1,0,0.0,2,677.07,338.54,9.4,1.81,0.33,3.85,1.54
60619,"Greater Grand Crossing, South Side",9200,110,39,35.45,31,8,20.51,0,0,0.0,3,1690.18,563.39,18.37,1.2,0.42,7.27,2.73
60628,"Roseland, Far South Side",8700,95,32,33.68,29,2,6.25,1,0,0.0,1,599.18,599.18,6.89,1.09,0.37,2.11,1.05
60617,"South Chicago, East Side",8400,88,23,26.14,20,2,8.7,1,0,0.0,1,419.75,419.75,5.0,1.05,0.27,2.27,1.14
60620,"Auburn Gresham, South Side",9000,105,40,38.1,33,6,15.0,1,0,0.0,2,783.81,391.9,8.71,1.17,0.44,5.71,1.9
60201,"Evanston",9500,330,82,24.85,69,12,14.63,1,0,0.0,3,1565.86,521.95,16.48,3.47,0.86,3.64,0.91
60076,"Skokie",10400,290,65,22.41,50,13,20.0,2,0,0.0,2,1068.15,534.08,10.27,2.79,0.62,4.48,0.69
60068,"Park Ridge",7300,240,53,22.08,47,4,7.55,2,1,1.89,2,1142.16,571.08,15.65,3.29,0.73,1.67,0.83
60016,"Des Plaines",10800,260,89,34.23,81,7,7.87,1,1,1.12,2,938.9,469.45,8.69,2.41,0.82,2.69,0.77
60004,"Arlington Heights",11500,310,101,32.58,80,17,16.83,4,1,0.99,3,1285.73,428.58,11.18,2.7,0.88,5.48,0.97
60067,"Palatine",10900,270,95,35.19,85,9,9.47,1,1,1.05,3,1227.4,409.13,11.26,2.48,0.87,3.33,1.11
60173,"Schaumburg",8600,220,51,23.18,39,11,21.57,1,1,1.96,5,1680.94,336.19,19.55,2.56,0.59,5.0,2.27
60302,"Oak Park",9700,350,133,38.0,102,26,19.55,5,3,2.26,14,5225.07,373.22,53.87,3.61,1.37,7.43,4.0
60804,"Cicero",11500,130,36,27.69,32,3,8.33,1,0,0.0,1,635.3,635.3,5.52,1.13,0.31,2.31,0.77
60402,"Berwyn",10500,260,61,23.46,49,11,18.03,1,2,3.28,4,2554.14,638.53,24.33,2.48,0.58,4.23,1.54
60126,"Elmhurst",7900,280,82,29.29,67,14,17.07,1,2,2.44,4,2021.35,505.34,25.59,3.54,1.04,5.0,1.43
60148,"Lombard",8700,240,69,28.75,57,12,17.39,0,1,1.45,5,2964.35,592.87,34.07,2.76,0.79,5.0,2.08
60515,"Downers Grove",9200,300,63,21.0,50,13,20.63,0,1,1.59,3,1608.2,536.07,17.48,3.26,0.68,4.33,1.0
60187,"Wheaton",10100,290,66,22.76,59,5,7.58,2,1,1.52,1,518.2,518.2,5.13,2.87,0.65,1.72,0.34
60563,"Naperville, North",12400,420,111,26.43,91,17,15.32,3,1,0.9,9,4942.63,549.18,39.86,3.39,0.9,4.05,2.14
60540,"Naperville, South",11800,380,87,22.89,75,10,11.49,2,1,1.15,3,1681.79,560.6,14.25,3.22,0.74,2.63,0.79
60453,"Oak Lawn",9600,270,53,19.63,44,7,13.21,2,0,0.0,4,1552.84,388.21,16.18,2.81,0.55,2.59,1.48
60462,"Orland Park",11200,310,72,23.23,54,15,20.83,3,1,1.39,8,2963.83,370.48,26.46,2.77,0.64,4.84,2.58
60477,"Tinley Park",10600,290,101,34.83,81,17,16.83,3,2,1.98,9,2902.53,322.5,27.38,2.74,0.95,5.86,3.1
60435,"Joliet, West",9800,170,58,34.12,50,6,10.34,2,0,0.0,3,1070.81,356.94,10.93,1.73,0.59,3.53,1.76
60411,"Chicago Heights",7100,90,18,20.0,15,3,16.67,0,0,0.0,1,385.15,385.15,5.42,1.27,0.25,3.33,1.11
