ZipOrFSA,CityList,HomeCount,KnockCount,ContactCount,ContactRate,NoCount,LeadCount,YesRate,QCCount,BadCount,BadRate,OrderCount,OrderAmount,AvgRevenuePerSale,AvgRevenuePer100Homes,PercentageOfHomesKnocked,ContactRateOfHomesAvailable,LeadsPer100HomesKnocked,SalesPer100HomesKnocked
90210,"Maple Grove, Weston",1735,404,185,45.8,180,5,2.7,18,0,0,2,712.96,356.48,41.09,23.29,10.66,1.24,0.5
10001,"Downtown, Riverside",7952,2078,594,28.6,576,18,3.0,2,0,0,1,341.91,341.91,4.3,26.13,7.47,0.87,0.05
60614,"Old Town, Harborview",984,423,180,42.6,155,25,13.9,1,0,0,3,2029.38,676.46,206.24,42.99,18.29,5.91,0.71
78704,"Old Town, Harborview",906,113,24,21.2,21,3,12.5,17,0,0,0,,,,12.47,2.65,2.65,
30306,"Fakeville North & South 0 <District 0>, Fakeville North & South 1 <District 1>, Fakeville North & South 2 <District 2>, Fakeville North & South 3 <District 3>, Fakeville North & South 4 <District 4>, Fakeville North & South 5 <District 5>, Fakeville North & South 6 <District 6>, Fakeville North & South 7 <District 7>, Fakeville North & South 8 <District 8>, Fakeville North & South 9 <District 9>, Fakeville North & South 10 <District 10>, Fakeville North & South 11 <District 11>, Fakeville North & South 12 <District 12>, Fakeville North & South 13 <District 13>, Fakeville North & South 14 <District 14>, Fakeville North & South 15 <District 15>, Fakeville North & South 16 <District 16>, Fakeville North & South 17 <District 17>, Fakeville North & South 18 <District 18>, Fakeville North & South 19 <District 19>, Fakeville North & South 20 <District 20>, Fakeville North & South 21 <District 21>, Fakeville North & South 22 <District 22>, Fakeville North & South 23 <District 23>, Fakeville North & South 24 <District 24>, Fakeville North & South 25 <District 25>, Fakeville North & South 26 <District 26>, Fakeville North & South 27 <District 27>, Fakeville North & South 28 <District 28>, Fakeville North & South 29 <District 29>, Fakeville North & South 30 <District 30>, Fakeville North & South 31 <District 31>, Fakeville North & South 32 <District 32>, Fakeville North & South 33 <District 33>, Fakeville North & South 34 <District 34>, Fakeville North & South 35 <District 35>, Fakeville North & South 36 <District 36>, Fakeville North & South 37 <District 37>, Fakeville North & South 38 <District 38>, Fakeville North & South 39 <District 39>, Fakeville North & South 40 <District 40>, Fakeville North & South 41 <District 41>, Fakeville North & South 42 <District 42>, Fakeville North & South 43 <District 43>, Fakeville North & South 44 <District 44>, Fakeville North & South 45 <District 45>, Fakeville North & South 46 <District 46>, Fakeville North & South 47 <District 47>, Fakeville North & South 48 <District 48>, Fakeville North & South 49 <District 49>, Fakeville North & South 50 <District 50>, Fakeville North & South 51 <District 51>, Fakeville North & South 52 <District 52>, Fakeville North & South 53 <District 53>, Fakeville North & South 54 <District 54>, Fakeville North & South 55 <District 55>, Fakeville North & South 56 <District 56>, Fakeville North & South 57 <District 57>, Fakeville North & South 58 <District 58>, Fakeville North & South 59 <District 59>, Fakeville North & South 60 <District 60>, Fakeville North & South 61 <District 61>, Fakeville North & South 62 <District 62>, Fakeville North & South 63 <District 63>, Fakeville North & South 64 <District 64>, Fakeville North & South 65 <District 65>, Fakeville North & South 66 <District 66>, Fakeville North & South 67 <District 67>, Fakeville North & South 68 <District 68>, Fakeville North & South 69 <District 69>, Fakeville North & South 70 <District 70>, Fakeville North & South 71 <District 71>, Fakeville North & South 72 <District 72>, Fakeville North & South 73 <District 73>, Fakeville North & South 74 <District 74>, Fakeville North & South 75 <District 75>, Fakeville North & South 76 <District 76>, Fakeville North & South 77 <District 77>, Fakeville North & South 78 <District 78>, Fakeville North & South 79 <District 79>, Fakeville North & South 80 <District 80>, Fakeville North & South 81 <District 81>, Fakeville North & South 82 <District 82>, Fakeville North & South 83 <District 83>, Fakeville North & South 84 <District 84>, Fakeville North & South 85 <District 85>, Fakeville North & South 86 <District 86>, Fakeville North & South 87 <District 87>, Fakeville North & South 88 <District 88>, Fakeville North & South 89 <District 89>, Fakeville North & South 90 <District 90>, Fakeville North & South 91 <District 91>, Fakeville North & South 92 <District 92>, Fakeville North & South 93 <District 93>, Fakeville North & South 94 <District 94>, Fakeville North & South 95 <District 95>, Fakeville North & South 96 <District 96>, Fakeville North & South 97 <District 97>, Fakeville North & South 98 <District 98>, Fakeville North & South 99 <District 99>, Fakeville North & South 100 <District 100>, Fakeville North & South 101 <District 101>, Fakeville North & South 102 <District 102>, Fakeville North & South 103 <District 103>, Fakeville North & South 104 <District 104>, Fakeville North & South 105 <District 105>, Fakeville North & South 106 <District 106>, Fakeville North & South 107 <District 107>, Fakeville North & South 108 <District 108>, Fakeville North & South 109 <District 109>, Fakeville North & South 110 <District 110>, Fakeville North & South 111 <District 111>, Fakeville North & South 112 <District 112>, Fakeville North & South 113 <District 113>, Fakeville North & South 114 <District 114>, Fakeville North & South 115 <District 115>, Fakeville North & South 116 <District 116>, Fakeville North & South 117 <District 117>, Fakeville North & South 118 <District 118>, Fakeville North & South 119 <District 119>, Fakeville North & South 120 <District 120>, Fakeville North & South 121 <District 121>, Fakeville North & South 122 <District 122>, Fakeville North & South 123 <District 123>, Fakeville North & South 124 <District 124>, Fakeville North & South 125 <District 125>, Fakeville North & South 126 <District 126>, Fakeville North & South 127 <District 127>, Fakeville North & South 128 <District 128>, Fakeville North & South 129 <District 129>, Fakeville North & South 130 <District 130>, Fakeville North & South 131 <District 131>, Fakeville North & South 132 <District 132>, Fakeville North & South 133 <District 133>, Fakeville North & South 134 <District 134>, Fakeville North & South 135 <District 135>, Fakeville North & South 136 <District 136>, Fakeville North & South 137 <District 137>, Fakeville North & South 138 <District 138>, Fakeville North & South 139 <District 139>, Fakeville North & South 140 <District 140>, Fakeville North & South 141 <District 141>, Fakeville North & South 142 <District 142>, Fakeville North & South 143 <District 143>, Fakeville North & South 144 <District 144>, Fakeville North & South 145 <District 145>, Fakeville North & South 146 <District 146>, Fakeville North & South 147 <District 147>, Fakeville North & South 148 <District 148>, Fakeville North & South 149 <District 149>, Fakeville North & South 150 <District 150>, Fakeville North & South 151 <District 151>, Fakeville North & South 152 <District 152>, Fakeville North & South 153 <District 153>, Fakeville North & South 154 <District 154>, Fakeville North & South 155 <District 155>, Fakeville North & South 156 <District 156>, Fakeville North & South 157 <District 157>, Fakeville North & South 158 <District 158>, Fakeville North & South 159 <District 159>, Fakeville North & South 160 <District 160>, Fakeville North & South 161 <District 161>, Fakeville North & South 162 <District 162>, Fakeville North & South 163 <District 163>, Fakeville North & South 164 <District 164>, Fakeville North & South 165 <District 165>, Fakeville North & South 166 <District 166>, Fakeville North & South 167 <District 167>, Fakeville North & South 168 <District 168>, Fakeville North & South 169 <District 169>, Fakeville North & South 170 <District 170>, Fakeville North & South 171 <District 171>, Fakeville North & South 172 <District 172>, Fakeville North & South 173 <District 173>, Fakeville North & South 174 <District 174>, Fakeville North & South 175 <District 175>, Fakeville North & South 176 <District 176>, Fakeville North & South 177 <District 177>, Fakeville North & South 178 <District 178>, Fakeville North & South 179 <District 179>, Fakeville North & South 180 <District 180>, Fakeville North & South 181 <District 181>, Fakeville North & South 182 <District 182>, Fakeville North & South 183 <District 183>, Fakeville North & South 184 <District 184>, Fakeville North & South 185 <District 185>, Fakeville North & South 186 <District 186>, Fakeville North & South 187 <District 187>, Fakeville North & South 188 <District 188>, Fakeville North & South 189 <District 189>, Fakeville North & South 190 <District 190>, Fakeville North & South 191 <District 191>, Fakeville North & South 192 <District 192>, Fakeville North & South 193 <District 193>, Fakeville North & South 194 <District 194>, Fakeville North & South 195 <District 195>, Fakeville North & South 196 <District 196>, Fakeville North & South 197 <District 197>, Fakeville North & South 198 <District 198>, Fakeville North & South 199 <District 199>, Fakeville North & South 200 <District 200>, Fakeville North & South 201 <District 201>, Fakeville North & South 202 <District 202>, Fakeville North & South 203 <District 203>, Fakeville North & South 204 <District 204>, Fakeville North & South 205 <District 205>, Fakeville North & South 206 <District 206>, Fakeville North & South 207 <District 207>, Fakeville North & South 208 <District 208>, Fakeville North & South 209 <District 209>, Fakeville North & South 210 <District 210>, Fakeville North & South 211 <District 211>, Fakeville North & South 212 <District 212>, Fakeville North & South 213 <District 213>, Fakeville North & South 214 <District 214>, Fakeville North & South 215 <District 215>, Fakeville North & South 216 <District 216>, Fakeville North & South 217 <District 217>, Fakeville North & South 218 <District 218>, Fakeville North & South 219 <District 219>",1464,584,188,32.2,165,23,12.2,18,0,0,0,,,,39.89,12.84,3.94,
98103,"Hillcrest, Oak Park",3550,199,83,41.7,81,2,2.4,15,0,0,0,,,,5.61,2.34,1.01,
43201,"Old Town, Harborview",6867,1286,496,38.6,427,69,13.9,5,0,0,0,,,,18.73,7.22,5.37,
80302,"Hillcrest, Oak Park",1170,307,125,40.7,109,16,12.8,19,0,0,3,1707.9,569.3,145.97,26.24,10.68,5.21,0.98
02138,"Downtown, Riverside",1467,524,192,36.6,170,22,11.5,13,0,0,0,,,,35.72,13.09,4.2,
94117,"Downtown, Riverside",5974,317,160,50.5,145,15,9.4,11,0,0,6,2929.49,488.25,49.04,5.31,2.68,4.73,1.89
